bush	kerry	party	previous_vote_share	previous_opposition_vote_share	runningforreelection	unopposed	healthsolutionsnewmexicoact	richardsongovdem	dendahlgovrep	treatment	n	q1favor	q1favorse	q1oppose	q1opposese	q2full	q2fullse	q2reduced	q2reducsedse	q2none	q2nonese	sb24	pres_2party	self_2party	match_category	rep
4491	13481	"D"	11679		0		"Y"	3251	784	0	147	0.5442177	0.0412182	0.4557823	0.0412182	0.4285714	0.0409559	0.4829932	0.0413564	0.0884354	0.023498	1	0.24988872		2	0
2939	11648	"D"	8459		1	1	"Y"	393	85	1	150	0.5466667	0.0407828	0.4533333	0.0407828	0.4466667	0.0407279	0.4866667	0.040947	0.0666667	0.0204352	1	0.20148078		15	0
6545	5638	"R"	7651		1	1	"N"	6691	3233	0	146	0.5273973	0.0414604	0.4726027	0.0414604	0.4246575	0.0410486	0.4109589	0.040859	0.1643836	0.0307786	1	0.537224		30	1
5603	5550	"D"	7032		1	1	"Y"	4248	2091	1	194	0.6443299	0.0344587	0.3556701	0.0344587	0.4072165	0.0353657	0.5	0.0359908	0.0927835	0.0208839	1	0.502376		12	0
4675	2339	"R"	3134		1	0	"N"	2732	1680	0	126	0.4444444	0.0444444	0.5555556	0.0444444	0.3571429	0.0428571	0.452381	0.0445181	0.1904762	0.0351221		0.6665241		22	1
3576	4265	"D"	3836		1	1	"Y"	2720	1294	1	124	0.3951613	0.0440813	0.6048387	0.0440813	0.3467742	0.0429143	0.4677419	0.0449896	0.1854839	0.035047	0	0.45606428		21	0
4536	3100	"D"	2672	2473	1	0	"Y"	1897	1194	0	136	0.5441176	0.0428653	0.4558824	0.0428653	0.4558824	0.0428653	0.5	0.0430331	0.0441176	0.0176743	1	0.5940283	0.51933914	9	0
4600	2725	"R"	2838	2343	1	1	"N"	6266	3837	0	142	0.6126761	0.0410245	0.3873239	0.0410245	0.4507042	0.0419024	0.5422535	0.041957	0.0070423	0.0070423	0	0.6279864	0.5477707	35	1
6897	3844	"D"	5919		1	0	"Y"	4832	2766	1	121	0.4876033	0.0456295	0.5123967	0.0456295	0.214876	0.0374949	0.4876033	0.0456295	0.2975207	0.0417335	1	0.642119		4	0
6729	3095	"R"	4500	2455	1	1	"N"	8982	5696	0	128	0.4765625	0.0443191	0.5234375	0.0443191	0.5078125	0.0443624	0.375	0.042959	0.1171875	0.0285413	1	0.68495524	0.6470165	28	1
8881	3456	"R"	6147	1561	0		"N"	5141	4268	1	139	0.5755396	0.0420743	0.4244604	0.0420743	0.3381295	0.0402706	0.5827338	0.0419761	0.0791367	0.0229798	0	0.71986705	0.79748315	1	1
3947	2679	"R"	2619	2225	1	0	"N"	3184	1644	0	110	0.5727273	0.047382	0.4272727	0.047382	0.2909091	0.0435027	0.5272727	0.04782	0.1818182	0.0369428	1	0.5956837	0.54066885	33	1
6930	2981	"R"	4271	2926	1	0	"N"	4065	3202	1	140	0.6285714	0.0409834	0.3714286	0.0409834	0.4142857	0.0417816	0.4	0.0415526	0.1857143	0.032984	1	0.6992231	0.5934417	25	1
7132	4951	"D"	5462	4129	0		"Y"	5855	3686	0	150	0.5866667	0.0403416	0.4133333	0.0403416	0.3933333	0.0400186	0.42	0.0404339	0.1866667	0.0319209	1	0.5902508	0.5694922	3	0
4708	1691	"R"	2091	2036	1	1	"N"	2546	1573	1	137	0.4744526	0.0428186	0.5255474	0.0428186	0.3284672	0.0402726	0.5109489	0.0428644	0.1605839	0.0314826	0	0.73573995	0.50666344	28	1
8630	1638	"R"	5571		1	1	"N"	3380	3365	1	123	0.6178862	0.0439917	0.3821138	0.0439917	0.3333333	0.042679	0.5447154	0.0450865	0.1219512	0.029626	0	0.84047526		30	1
4019	2813	"D"	3655		1	0	"Y"	3404	1293	0	120	0.4083333	0.0450581	0.5916667	0.0450581	0.3083333	0.0423336	0.4666667	0.045733	0.225	0.0382797	1	0.5882611		4	0
7273	2058	"R"	4753		1	0	"N"	3760	2293	1	151	0.4635762	0.0407164	0.5364238	0.0407164	0.4635762	0.0407164	0.4304636	0.0404281	0.1059603	0.0251307	0	0.7794449		23	1
1788	5078	"D"	5427		1	1	"Y"	5481	761	1	169	0.4792899	0.0385427	0.5207101	0.0385427	0.4142012	0.0380036	0.5088757	0.0385698	0.0769231	0.0205586	1	0.26041365		19	0
7896	2902	"R"	4996		1	1	"N"	4047	4149	0	130	0.4	0.0431331	0.6	0.0431331	0.3461538	0.0418868	0.4	0.0431331	0.2538462	0.0383182	1	0.73124653		26	1
7501	2947	"R"	5792		0		"N"	4840	2907	0	126	0.515873	0.0446988	0.484127	0.0446988	0.2539683	0.0389326	0.6507937	0.0426391	0.0952381	0.0262553	1	0.71793646		34	1
4865	6157	"D"			1	0	"Y"	6470	2705	0	131	0.4885496	0.0438414	0.5114504	0.0438414	0.4503817	0.0436364	0.4961832	0.0438516	0.0534351	0.019725	1	0.44138995		5	0
2899	4556	"D"	5623		1	1	"Y"	5166	1100	0	145	0.5448276	0.0414989	0.4551724	0.0414989	0.462069	0.0415466	0.4	0.0408248	0.137931	0.0287356	1	0.38886654		16	0
2836	7292	"D"	5668		1	0	"Y"	5693	1615	0	175	0.6457143	0.0362595	0.3542857	0.0362595	0.4057143	0.0372249	0.5085714	0.0378993	0.0857143	0.0212223		0.2800158		10	0
