State,District,Name,Party,SB 22,HB 5,SB 487,HB 237,HB 37,HB 618,HB 634,HB 62,HB 342,HB 241,HB 484,HB 484,HB 191,HB 400,HB 147,HB 2,HB 9
NM,50,Rep.  Rhonda Sue  King ,Democratic,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
NM,51,Rep.  Gloria  C.  Vaughn ,Republican,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0
NM,52,Rep.  Joseph  Cervantes ,Democratic,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NM,53,Rep.  Nathan  P.  Cote ,Democratic,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NM,54,Rep.  William  J.  'Bill'  Gray ,Republican,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0
NM,55,Rep.  John  A.  Heaton ,Democratic,1,1,1,1,1,99,1,1,1,0,1,1,1,1,1,1,0
NM,56,Rep.  Walter  C.  'Dub'  Williams ,Republican,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0
NM,57,Rep.  Daniel  R.  'Dan'  Foley ,Republican,0,99,0,99,1,99,0,0,0,0,1,1,0,1,1,0,0
NM,58,Rep.  Candy Spence  Ezzell ,Republican,1,0,1,0,0,1,0,0,1,0,99,99,0,1,1,0,0
NM,59,Rep.  Nora  Espinoza ,Republican,1,0,1,0,0,1,0,0,0,0,99,99,1,1,1,0,0
NM,60,Rep.  Thomas  E.  Swisstack ,Democratic,1,99,1,1,1,1,1,1,1,1,1,1,1,99,99,1,1
NM,61,Rep.  Shirley  A.  Tyler ,Republican,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,99,0
NM,62,Rep.  Donald  E.  Bratton ,Republican,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
NM,63,Rep.  Jose  A.  Campos  II,Democratic,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NM,64,Rep.  Anna  M.  Crook ,Republican,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0
NM,65,Rep.  James Roger  Madalena  Jr.,Democratic,99,99,1,99,99,1,1,1,1,1,99,99,99,99,99,1,1
NM,66,Rep.  Keith  J.  Gardner ,Republican,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
NM,67,Rep.  Brian  K.  Moore ,Republican,0,0,1,0,99,1,1,0,1,1,99,99,0,1,99,1,0
NM,68,Rep.  Thomas  A.  Garcia ,Democratic,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
NM,69,Rep.  W. Ken  Martinez ,Democratic,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NM,70,Rep.  Richard  D.  Vigil ,Democratic,1,1,1,1,99,1,1,1,1,1,1,1,1,1,1,1,0
